accuracy,avg_valid_rank,rank,avg_valid_len,len
0.4857,2.1491,0,6.6739,14
0.4849,2.1491,-1,6.6739,15
0.4842,2.1491,-1,6.6739,16
0.4850,2.1424,0,6.7059,17
0.4858,2.1358,0,6.7407,18
0.4850,2.1358,-1,6.7407,1
0.4843,2.1358,-1,6.7407,2
0.4851,2.1354,2,6.7292,3
0.4858,2.1288,0,6.7209,4
0.4866,2.1315,3,6.7156,5
0.4874,2.1402,5,6.7134,6
0.4881,2.1429,3,6.7143,7
0.4874,2.1429,-1,6.7143,8
0.4882,2.1424,2,6.7212,9
0.4889,2.1360,0,6.7311,10
0.4897,2.1295,0,6.7440,11
0.4904,2.1351,4,6.7598,12
0.4912,2.1287,0,6.7784,13
0.4919,2.1224,0,6.8000,14
0.4912,2.1224,-1,6.8000,1
0.4905,2.1224,-1,6.8000,2
0.4898,2.1224,-1,6.8000,3
0.4891,2.1224,-1,6.8000,4
0.4898,2.1310,5,6.7946,5
0.4905,2.1246,0,6.7923,6
0.4913,2.1183,0,6.7751,1
0.4920,2.1150,1,6.7611,2
0.4928,2.1206,4,6.7500,3
0.4935,2.1144,0,6.7419,4
0.4928,2.1144,-1,6.7419,5
0.4921,2.1144,-1,6.7419,6
0.4914,2.1144,-1,6.7419,7
0.4921,2.1170,3,6.7456,8
0.4914,2.1170,-1,6.7456,9
0.4907,2.1170,-1,6.7456,1
0.4914,2.1166,2,6.7318,2
0.4907,2.1166,-1,6.7318,3
0.4900,2.1166,-1,6.7318,1
0.4893,2.1166,-1,6.7318,2
0.4886,2.1166,-1,6.7318,1
0.4879,2.1166,-1,6.7318,1
0.4872,2.1166,-1,6.7318,2
0.4879,2.1134,1,6.7209,3
0.4873,2.1134,-1,6.7209,4
0.4880,2.1304,8,6.7159,5
0.4887,2.1272,1,6.7139,6
0.4894,2.1297,3,6.7147,7
0.4887,2.1297,-1,6.7147,8
